clg_name,rating,fees,pkg,STATE,CLG_ID
"Rajadhani Institute of Science and Technology - [RIST], Palakkad",8.3,35000,454000,KL,KLRa8
"College of Engineering Poonjar, Kottayam",8.3,35000,800000,KL,KLCo8
"Saintgits College of Engineering, Kottayam",8.3,75000,350000,KL,KLSa8
"Cochin University College of Engineering Kuttanad - [CUCEK], Alappuzha",8.3,88890,450000,KL,KLCo8
"Indian Institute of Information Technology [IIIT], Kottayam",8.3,230450,700000,KL,KLIn8
"KVASU, College of Dairy Science and Technology Mannuthy - [CDST], Thrissur",8.4,,1200000,KL,KLKV8
"College of Engineering, Thiruvananthapuram",8.4,50000,6400000,KL,KLCo8
"Indian Institute of Space Science and Technology - [IIST], Thiruvananthapuram",8.4,144900,2088000,KL,KLIn8
"Government Engineering College - [GEC] Barton Hill, Thiruvananthapuram",8.5,18425,320000,KL,KLGo8
"Government Engineering College - [GECT], Thrissur",8.5,22150,7200000,KL,KLGo8
"College of Engineering Vadakara - [CEV], Kozhikode",8.5,55105,350000,KL,KLCo8
"IIT Palakkad - Indian Institute of Technology - [IITPKD], Palakkad",8.7,223900,550000,KL,KLII8
"KMCT College of Engineering, Kozhikode",8.8,75000,720000,KL,KLKM8
