ID,Name
1,Doda
2,Jammu
3,Kathua
4,Kishtwar
5,Poonch
6,Rajouri
7,Ramban
8,Reasi
9,Samba
10,Udhampur
11,Anantnag
12,Bandipora
13,Baramulla
14,Budgam
15,Ganderbal
16,Kulgam
17,Kupwara
18,Pulwama
19,Shopian
20,Srinagar
21,Kargil
22,Leh
