ID,Name
1,Central Delhi
2,North Delhi
3,South Delhi
4,East Delhi
5,North East Delhi
6,South West Delhi
7,New Delhi
8,North West Delhi
9,West Delhi
10,Shahdara
11,South Eest Delhi
12,Delhi
