No,Name
1,Amritsar
2,Barnala
3,Bathinda
4,Faridkot
5,Fatehgarh Sahib
6,Firozpur
7,Fazilka
8,Gurdaspur
9,Hoshiarpur
10,Jalandhar
11,Kapurthala
12,Ludhiana
13,Mansa
14,Moga
15,Sri Muktsar Sahib
16,Pathankot
17,Patiala
18,Rupnagar
19,Sahibzada Ajit Singh Nagar
20,Sangrur
21,Shahid Bhagat Singh Nagar
22,Taran Taran
