Name
Bidar
Chikkamagaluru
Dharwad
Haveri
Mandya
Shivamogga
Vijayanagara
Yadgiri
Ramanagara
Koppala
Hassan
Davanagere
Chikkaballapura
Ballary
Bagalkote
Chamarajanagara
Dakshina Kannada
Kalaburagi
Kolara
Raichur
Udupi
Uttara Kannada
Tumakuru
Mysuru
Kodagu
Gadag
Chitradurga
Vijayapura
Bengaluru 
