clg_name,rating,fees,pkg,STATE,CLG_ID
"Annai Mathammal Sheela Engineering College, Namakkal",7.4,45000,450000,TN,TNAn7
"Global Institute of Engineering and Technology - [GIT], Vellore",7.4,50000,850000,TN,TNGl7
"KLN College of Information Technology - [KLNCIT], Sivaganga",7.4,50000,480000,TN,TNKL7
"SRM TRP Engineering College, Tiruchirappalli",7.4,50000,570000,TN,TNSR7
"Sakthi Mariamman Engineering College - [SMEC], Chennai",7.4,50000,349000,TN,TNSa7
"Jayaraj Annapackiam CSI College of Engineering - [JACSICE], Thoothukudi",7.4,50000,225000,TN,TNJa7
"Coimbatore Institute of Engineering and Technology - [CIET], Coimbatore",7.4,55000,1225000,TN,TNCo7
"Latha Mathavan Engineering College - [LMEC], Madurai",7.4,55000,1200000,TN,TNLa7
"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College, Chennai",7.4,60000,3800000,TN,TNVe7
"Rajalakshmi Institute of Technology - [RIT], Chennai",7.4,85000,204609,TN,TNRa7
"CSI College of Engineering - [CSICE], The Nilgiris",7.4,89400,450000,TN,TNCS7
"University College of Engineering, Anna University - [UCEV], Viluppuram",7.5,43810,1000000,TN,TNUn7
"JEPPIAAR SRR Engineering college, Chennai",7.5,45000,250000,TN,TNJE7
"Nandha Engineering College - [NEC], Erode",7.5,50000,2700000,TN,TNNa7
"Indra Ganesan College of Engineering - [IGCENG], Tiruchirappalli",7.5,50000,800000,TN,TNIn7
"Salem College of Engineering and Technology - [SCET], Salem",7.5,50000,1100000,TN,TNSa7
"Gnanamani College of Engineering - [GCE], Namakkal",7.5,50000,650000,TN,TNGn7
"Annai Mira College of Engineering and Technology, Vellore",7.5,50000,320000,TN,TNAn7
"Jaya Engineering College - [JEC], Chennai",7.5,55000,6300000,TN,TNJa7
"Kongunadu College of Engineering and Technology - [KNCET], Tiruchirappalli",7.5,55000,2500000,TN,TNKo7
"Vickram College of Engineering - [VCE], Sivaganga",7.5,55000,600000,TN,TNVi7
"Alagappa College of Technology, Anna University - [ACT], Chennai",7.5,57160,545000,TN,TNAl7
"Panimalar Institute of Technology-[PIT], Chennai",7.5,60000,600000,TN,TNPa7
"Institute of Road and Transport Technology - [IRTTECH], Erode",7.5,66865,475000,TN,TNIn7
"Sri Eshwar College of Engineering - [SECE], Coimbatore",7.5,90000,708000,TN,TNSr7
"Hindusthan College of Engineering and Technology - [HICET], Coimbatore",7.5,100000,344000,TN,TNHi7
"SASTRA University, Thanjavur",7.5,167000,4500000,TN,TNSA7
"M. Kumarasamy College of Engineering - [MKCE], Karur",7.5,200000,320000,TN,TNM.7
"Kalaignar karunanidhi Institute of Technology - [KIT], Coimbatore",7.5,200000,1200000,TN,TNKa7
"EGS Pillay Engineering College, Nagapattinam",7.5,200000,3000000,TN,TNEG7
"Cape Institute of Technology - [CAPE], Tirunelveli",7.6,25500,400000,TN,TNCa7
"Sengunthar Engineering College, Namakkal",7.6,50000,350000,TN,TNSe7
"Surya Engineering College, Erode",7.6,50000,900000,TN,TNSu7
"KS Rangasamy College of Technology, Namakkal",7.6,50000,340000,TN,TNKS7
"Muthayammal Engineering College - [MEC], Namakkal",7.6,60000,120000,TN,TNMu7
"M.A.M College of Engineering - [MAMCE], Tiruchirappalli",7.6,60000,3200000,TN,TNM.7
"The Kavery Engineering College - [TKEC], Salem",7.6,60000,1200000,TN,TNTh7
"K Ramakrishnan College of Technology - [KRCT], Tiruchirappalli",7.6,65000,325000,TN,TNK 7
"Dr. M.G.R. Educational and Research Institute, Chennai",7.6,80000,5015000,TN,TNDr7
"Syed Ammal Engineering college, Ramanathapuram",7.6,200000,120000,TN,TNSy7
"Mangayarkarasi College of Engineering - [MCE], Madurai",7.7,30000,320000,TN,TNMa7
"SVS College of Engineering - [SVSCE], Coimbatore",7.7,45000,180000,TN,TNSV7
"Jerusalem College of Engineering - [JCE], Chennai",7.7,50000,450000,TN,TNJe7
"EASA College of Engineering and Technology - [ECET], Coimbatore",7.7,50000,300000,TN,TNEA7
"Meenakshi College of Engineering, Chennai",7.7,50000,1340000,TN,TNMe7
"Dhanalakshmi Srinivasan College of Engineering - [DSCE], Coimbatore",7.7,55000,2600000,TN,TNDh7
"Misrimal Navajee Munoth Jain Engineering College - [MNMJEC], Chennai",7.7,55000,450000,TN,TNMi7
"St Joseph College of Engineering, Chennai",7.7,60000,450000,TN,TNSt7
"SKP Engineering College, Tiruvannamalai",7.7,65000,360000,TN,TNSK7
"New Prince Shri Bhavani College of Engineering & Technology - [NPSBCET], Chennai",7.7,65000,1800000,TN,TNNe7
"Bharath University - Bharath Institute of Higher Education and Research - [BIHER], Chennai",7.7,150000,600000,TN,TNBh7
"Dr. NGP Institute of Technology, Coimbatore",7.7,200000,500000,TN,TNDr7
"Amrita Vishwa Vidyapeetham, Coimbatore",7.7,300000,572000,TN,TNAm7
"Infant Jesus College of Engineering - [IJCE], Thoothukudi",7.8,34000,250000,TN,TNIn7
"Anna University, College of Engineering - [UCEK], Kanchipuram",7.8,43810,250000,TN,TNAn7
"Paavai Engineering College (Autonomous), Namakkal",7.8,50000,8500000,TN,TNPa7
"GKM College of Engineering and Technology - [GKMCET], Chennai",7.8,50000,590000,TN,TNGK7
"Thangavelu Engineering College, Chennai",7.8,50000,1000000,TN,TNTh7
"ARM College of Engineering and Technology - [ARMCET], Kanchipuram",7.8,50000,2500000,TN,TNAR7
"KLN College of Engineering - [KLNCE], Sivaganga",7.8,60000,1945000,TN,TNKL7
"Roever Engineering College-[REC], Perambalur",7.8,60000,450000,TN,TNRo7
"Renganayagi Varatharaj College of Engineering - [RVCE], Virudhunagar",7.8,60000,530000,TN,TNRe7
"Velammal Engineering College - [VEC], Chennai",7.8,65000,1400000,TN,TNVe7
"Raja College of Engineering and Technology, Veerapanjan, Madurai",7.8,81000,1900000,TN,TNRa7
"Vi Institute of Technology - [VIIT], Kanchipuram",7.8,200000,653000,TN,TNVi7
"Velammal College of Engineering and Technology - [VCET], Madurai",7.8,200000,2100000,TN,TNVe7
"Parisutham Institute of Technology and Science - [PITS], Thanjavur",7.8,200000,120000,TN,TNPa7
"Vels Institute of Science, Technology & Advanced Studies, Chennai",7.8,287250,4160000,TN,TNVe7
"Amrita School of Engineering - [ASE], Coimbatore",7.8,335000,460000,TN,TNAm7
"United Institute of Technology - [UIT], Coimbatore",7.9,,700000,TN,TNUn7
"Government College of Engineering - [GCE], Dharmapuri",7.9,7555,741000,TN,TNGo7
"PSR Engineering College, Virudhunagar",7.9,14000,350000,TN,TNPS7
"Coimbatore Institute of Technology - [CIT], Coimbatore",7.9,25800,5800000,TN,TNCo7
"KCG College Of technology, Chennai",7.9,50000,1400000,TN,TNKC7
"Prince Shri Venkateshwara Padmavathy Engineering College - [PSVPEC], Chennai",7.9,50000,1000000,TN,TNPr7
"Vaigai College of Engineering- [VCE], Madurai",7.9,50000,350000,TN,TNVa7
"CMS College of Engineering - [CMSCE], Namakkal",7.9,50000,4000000,TN,TNCM7
"Sengunthar College of Engineering - [SCE], Namakkal",7.9,50000,380000,TN,TNSe7
"SCAD Engineering College, Tirunelveli",7.9,50000,450000,TN,TNSC7
"Easwari Engineering College - [EEC], Chennai",7.9,55000,300000,TN,TNEa7
"S.A. Engineering College, Chennai",7.9,60000,2910000,TN,TNS.7
"Aarupadai Veedu Institute of Technology - [AVIT], Kanchipuram",7.9,60000,450000,TN,TNAa7
"Sathyabama Institute of Science and Technology, Chennai",7.9,80000,1535000,TN,TNSa7
"SRM Valliammai Engineering college -[VEC], Kanchipuram",7.9,177000,3900000,TN,TNSR7
"Vellore Institute of Technology - [VIT], Chennai",7.9,198000,1500000,TN,TNVe7
"SNS College of Engineering - [SNSCE], Coimbatore",7.9,300000,2100000,TN,TNSN7
"Adhiparasakthi College of Engineering Arcot - [APCE], Vellore",8.0,40000,718000,TN,TNAd8
"Annai Teresa College of Engineering, Viluppuram",8.0,50000,1200000,TN,TNAn8
"Erode Sengunthar Engineering College, Perundurai",8.0,55000,1450000,TN,TNEr8
"Loyola Institute of Technology - [LIT], Chennai",8.0,55000,550000,TN,TNLo8
"Sree Sastha Institute of Engineering and Technology, Chennai",8.0,55000,650000,TN,TNSr8
"VSB College of Engineering Technical Campus, Coimbatore",8.0,55000,450000,TN,TNVS8
"Suguna College of Engineering - [SCE], Coimbatore",8.0,60000,190000,TN,TNSu8
"Mount Zion College of Engineering and Technology, Pudukkottai",8.0,60000,1000000,TN,TNMo8
"Thirumalai Engineering College - [TEC], Kanchipuram",8.0,60000,520000,TN,TNTh8
"Saranathan College of Engineering - [SCE], Tiruchirappalli",8.0,65000,700000,TN,TNSa8
