clg_name,rating,fees,pkg,STATE,CLG_ID
"Government College of Engineering and Technology - [GCET], Jammu",6.5,42920,730000,JK,JKGo6
"National Institute of Technology - [NIT], Srinagar",7.3,164500,900000,JK,JKNa7
"Model Institute of Engineering and Technology - [MIET], Jammu",7.8,96500,5430000,JK,JKMo7
"Silicon Institute of Technology - [SIT], Sambalpur",7.8,460000,480000,JK,JKSi7
"Islamic University of Science and Technology - [IUST], Pulwama",8.5,66200,1200000,JK,JKIs8
"IIT Jammu - Indian Institute of Technology - [IITJ], Jammu",8.7,279190,2100000,JK,JKII8
"SSM College of Engineering and Technology - [SSM], Baramulla",8.8,49000,1500000,JK,JKSS8
