clg_name,rating,fees,pkg,STATE,CLG_ID
"Kallam Haranadhareddy Institute of Technology - [KHIT], Guntur",8.3,50200,2500000,AP,APKa8
"Narasaraopeta Engineering College - [NEC], Guntur",8.3,60400,1000000,AP,APNa8
"Gudlavalleru Engineering College - [GEC], Krishna",8.3,65000,1200000,AP,APGu8
"Vignan's Foundation for Science, Technology, and Research, Guntur",8.3,120000,1243000,AP,APVi8
"Guntur Engineering College - [GEC], Guntur",8.4,35000,300000,AP,APGu8
"Shri Krishna University - [SKU], Chhatarpur",8.4,46000,600000,AP,APSh8
"G. Pulla Reddy Engineering College - [GPREC], Kurnool",8.4,80000,4200000,AP,APG.8
"Sri Krishna College of Technology - [SKCT], Coimbatore",8.4,200000,1470000,AP,APSr8
"K L University - [KLU], Guntur",8.4,240000,2500000,AP,APK 8
"Sri Sivani College of Engineering - [SSCE], Srikakulam",8.6,35000,1000000,AP,APSr8
"University College of Engineering, JNTUK, Vizianagaram",8.7,15300,360000,AP,APUn8
"Vignan's Institute of Information Technology - [VIIT], Visakhapatnam",8.7,52000,500000,AP,APVi8
"Pydah College of Engineering, Kakinada, East Godavari",8.7,106850,520000,AP,APPy8
"Gates Institute of Technology-[GIT], Anantapur",8.9,41000,1000000,AP,APGa8
