clg_name,rating,fees,pkg,STATE,CLG_ID
"Swami Vivekanand College of Engineering - [SVCE], Indore",8.3,58500,1000000,MP,MPSw8
"Malwa Institute of Technology - [MIT], Indore",8.3,64200,480000,MP,MPMa8
"LNCT University - [LNCTU], Bhopal",8.3,80000,1410000,MP,MPLN8
"SDM College of Engineering and Technology - [SDMCET], Dharwad",8.3,350000,200000,MP,MPSD8
"Shri Krishna University - [SKU], Chhatarpur",8.4,46000,600000,MP,MPSh8
"Sardar Patel University - [SPUBGT], Balaghat",8.4,51500,350000,MP,MPSa8
"Acropolis Group of Institutions, Indore",8.4,73600,860000,MP,MPAc8
"SAGE University, Bhopal",8.4,90000,2000000,MP,MPSA8
"Sagar Institute of Science and Technology - [SISTec] - Sagar Group of Institutions, Bhopal",8.4,340000,500000,MP,MPSa8
"Madhyanchal Professional University - [MPU], Bhopal",8.5,40000,1800000,MP,MPMa8
"IIT Indore - Indian Institute of Technology - [IITI], Indore",8.5,233900,430000,MP,MPII8
"Renaissance University - [RU], Indore",8.6,80000,1200000,MP,MPRe8
"Rewa Engineering College - [REC], Rewa",8.7,49800,538000,MP,MPRe8
"Chameli Devi Group of Institution, Indore",8.8,35000,220000,MP,MPCh8
"IES University, Bhopal",8.8,55000,360000,MP,MPIE8
"IIT Dharwad - Indian Institute of Technology - [IITD], Dharwad",8.8,241500,2038000,MP,MPII8
"Avantika University, Ujjain",9.1,228000,1914000,MP,MPAv9
"Sagar Institute of Research & Technology Excellence -[SIRTE], Bhopal",9.2,60000,350000,MP,MPSa9
