clg_name,rating,fees,pkg,STATE,CLG_ID
"Bhagwati Institute of Technology and Science, Ghaziabad",7.9,95865,3400000,UP,UPBh7
"ABSS Institute of Technology, Meerut",7.9,113460,1270000,UP,UPAB7
"KIET Group of Institutions - [KIET], Ghaziabad",7.9,138499,2400000,UP,UPKI7
"Meerut Institute of Engineering and Technology - [MIET], Meerut",7.9,408000,458000,UP,UPMe7
"Eshan Group of Institution, Agra",8.0,72000,450000,UP,UPEs8
"SR Group of Institutions - [SRGI], Jhansi",8.0,73100,900000,UP,UPSR8
"Rakshpal Bahadur College of Engineering & Technology - [RBCET], Bareilly",8.0,75000,314000,UP,UPRa8
"Sanskar Educational Group - [SEG], Ghaziabad",8.0,90000,480000,UP,UPSa8
"ABES Engineering College, Ghaziabad",8.0,136600,14000000,UP,UPAB8
"Integral University, Lucknow",8.0,140000,3700000,UP,UPIn8
"Maulana Azad National Institute of Technology - [MANIT], Bhopal",8.0,154000,750000,UP,UPMa8
"JNTUH College of Engineering Sultanpur - [JNTUHCES], Sangareddy",8.1,40500,920000,UP,UPJN8
"Institute of Technology & Management - [ITM], Lucknow",8.1,67400,550000,UP,UPIn8
"Moradabad Institute of Technology - [MIT], Moradabad",8.1,114575,5100000,UP,UPMo8
"Jaypee University Anoopshahr, Bulandshahr",8.1,155000,1000000,UP,UPJa8
"IAMR Group of Institutions - [IAMR], Ghaziabad",8.1,280000,425000,UP,UPIA8
"Dayalbagh Educational Institute Faculty of Engineering, Agra",8.2,51300,1146000,UP,UPDa8
"Sunder Deep Group of Institutions - [SDGI], Ghaziabad",8.2,60000,700000,UP,UPSu8
"Shobhit University, Meerut",8.2,110000,2700000,UP,UPSh8
"Shri Ramswaroop Memorial University - [SRMU], Lucknow",8.2,137000,900000,UP,UPSh8
"National Institute of Technology - [NIT], Hamirpur",8.2,180200,1036000,UP,UPNa8
"Aligarh Muslim University - [AMU], Aligarh",8.2,269445,6000000,UP,UPAl8
"R.R. Group of Institutions - [RRGI], Lucknow",8.3,79700,850000,UP,UPR.8
"Invertis University, Bareilly",8.3,100000,450000,UP,UPIn8
"Shri Venkateshwara University - [SVU], Amroha",8.3,125000,180000,UP,UPSh8
"Devprayag Institute of Technical Studies - [DITS], Allahabad",8.4,80500,450000,UP,UPDe8
"Raj Kumar Goel Engineering College - [RKGEC], Ghaziabad",8.4,110000,840000,UP,UPRa8
"United Institute of Technology - [UIT], Allahabad",8.4,112025,260000,UP,UPUn8
"GLA University, Mathura",8.4,171000,4650000,UP,UPGL8
"MNNIT Allahabad - Motilal Nehru National Institute of Technology - [MNNIT], Allahabad",8.5,84666,4500000,UP,UPMN8
"Feroze Gandhi Institute of Engineering and Technology - [FGIET], Rae Bareli",8.5,87709,700000,UP,UPFe8
"Maharaja Agrasen University - [MAU], Solan",8.5,120000,430000,UP,UPMa8
"Indian Institute of Information Technology - [IIITL], Lucknow",8.5,269700,782000,UP,UPIn8
"Rajiv Gandhi Institute of Petroleum Technology - [RGIPT], Amethi",8.5,271600,823000,UP,UPRa8
"Vidya Knowledge Park - [VKP], Meerut",8.7,102850,500000,UP,UPVi8
"Indian Institute of Information Technology - [IIIT], Allahabad",8.7,104000,5475000,UP,UPIn8
