clg_name,rating,fees,pkg,STATE,CLG_ID
"Adarsha College of Engineering - [ACE], Angul",6.1,374000,140000,OR,ORAd6
"Sri Sri University - [SSU], Cuttack",7.1,160000,7500000,OR,ORSr7
"Bhadrak Institute of Engineering and Technology - [BIET], Bhadrak",7.6,94000,1650000,OR,ORBh7
"Kalam Institute of Technology - [KIT], Ganjam",7.6,212000,2100000,OR,ORKa7
"ABIT Group of Institutions - [ABIT], Cuttack",7.8,81600,358000,OR,ORAB7
"Silicon Institute of Technology - [SIT], Sambalpur",7.8,460000,480000,OR,ORSi7
"Indira Gandhi Institute of Technology- [IGIT], Dhenkanal",8.0,64400,350000,OR,ORIn8
"Seemanta Engineering College, Mayurbhanj",8.4,220000,1000000,OR,ORSe8
