clg_name,rating,fees,pkg
"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT], Bardoli",7.2,94000,1600000
"Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT], Yamuna Nagar",7.2,95790,1675000
"Global Institute of Technology - [GIT], Jaipur",7.2,96043,3600000
"Gaya College of Engineering, Gaya",7.2,100000,4060000
"GS Mandal's Marathwada Institute of Technology - [MIT], Aurangabad",7.2,101000,700000
"JD College of Engineering and Management, Nagpur",7.2,103000,950000
"MVJ College of Engineering - [MVJCE], Bangalore",7.2,103806,1000000
"MVPS's Karmaveer Adv. Baburao Ganpatrao Thakare College of Engineering, Nashik",7.2,107285,3000000
"Pravara Rural Engineering College - [PREC] Loni, Ahmednagar",7.2,113000,310000
"Accurate Institute of Management and Technology - [AIMT], Greater Noida",7.2,122950,5695000
"Jawaharlal Nehru Engineering College - [JNEC], Aurangabad",7.2,169000,1600000
"RR Institute of Technology - [RRIT], Bangalore",7.2,195000,600000
"Adhi College of Engineering and Technology - [ACET], Kanchipuram",7.2,200000,510000
"Indian Institute of Information Technology - [IIITK], Kalyani",7.2,204620,450000
"Amity University, Greater Noida",7.2,206200,250000
"Dr. Sudhir Chandra Sur Institute of Technology & Sports Complex - [SURTECH], Kolkata",7.2,436403,300000
"Universal College of Engineering and Technology - [UCET], Gandhinagar",7.3,,480000
"Indian Institution of Industrial Engineering, Navi Mumbai",7.3,,600000
"Dr. Ambedkar Institute of Technology - [AIT], Bangalore",7.3,30200,750000
"Oriental University - [OU], Indore",7.3,35000,240000
"College of Engineering - [CEK] Kidangoor, Kottayam",7.3,35000,500000
"Walchand Institute of Technology - [WIT], Solapur",7.3,38848,200000
"Raj Engineering College- [REC], Jodhpur",7.3,40000,1500000
"Capital University - [CU], Kodarma",7.3,41100,800000
"Bhabha Engineering Research Institute - [BERI], Bhopal",7.3,44000,2900000
"Sri Ramakrishna Institute of Technology - [SRIT], Coimbatore",7.3,50000,2000000
"Dhanalakshmi Srinivasan Engineering College - [DSEC], Perambalur",7.3,50000,443000
"Government College of Engineering, Bargur - [GCE], Krishnagiri",7.3,50000,1260000
"Balaji Institute of Technology and Science - [BITS], Warangal",7.3,50000,350000
"Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University], Thanjavur",7.3,51000,4615000
"Sri Mittapalli Institute of Technology for Women - [SMITW], Guntur",7.3,52400,360000
"Government College of Engineering & Textile Technology - [GCETT], Serampore",7.3,53400,420000
"Aalim Muhammed Salegh College of Engineering - [AALIMEC], Chennai",7.3,55000,7200000
"IFET College of Engineering - [IFET], Villupuram",7.3,55000,420000
"Sri Shanmugha College of Engineering and Technology - [SSCET], Salem",7.3,55000,1000000
"Scient Institute of Technology, Ibrahimpatnam, Hyderabad",7.3,58000,311666
"St. Thomas College of Engineering and Technology- [STC], Chengannur",7.3,58150,1800000
"AKS University - [AKSU], Satna",7.3,60000,508000
"Jeppiaar Engineering College, Chennai",7.3,60000,5760000
"Truba College of Science and Technology - [TCST], Bhopal",7.3,60000,480000
"Potti Sriramulu College of Engineering and Technology - [PSCMRCET], Vijayawada",7.3,60000,4800000
"Malla Reddy Institute of Engineering and Technology- [MRIET], Secunderabad",7.3,60000,1550000
"Krishna Group of Institutions, Kanpur",7.3,65000,480000
"Mysore College of Engineering & Management - [MYCEM], Mysore",7.3,65340,210000
"Mandsaur Institute of Technology- [MIT], Indore",7.3,68400,425000
"Annamacharya Institute of Technology and Sciences, Kadapa",7.3,68700,3175000
"Mahendra Engineering College, Namakkal",7.3,70000,480000
"Sri Muthukumaran Institute of Technology - [SMIT], Chennai",7.3,70000,1800000
"Government Engineering College, Ajmer",7.3,70500,325000
"Ahmedabad Institute of Technology, Ahmedabad",7.3,71000,1500000
"Hindu College of Engineering - [HCE], Sonepat",7.3,76335,800000
"Northern Institute of Engineering Technical Campus - [NIET], Alwar",7.3,77000,365000
"Institute of Engineering & Technology, Agra",7.3,78000,1750000
"Samalkha Group of Institutions - [SGI], Panipat",7.3,79500,1000000
"Teegala Krishna Reddy Engineering College, Hyderabad",7.3,80000,1600000
"DAV Institute of Engineering and Technology - [DAVIET], Jalandhar",7.3,80750,1000000
"Stanley College of Engineering and Technology for Women - [SCETW], Hyderabad",7.3,81000,2600000
"Guru Nanak Dev Engineering College - [GNDEC ], Bidar",7.3,81000,2500000
"Bhilai Institute of Technology - [BIT], Durg",7.3,81400,1000000
"College of Engineering - [CEM] Munnar, Idukki",7.3,85650,424448
"Om Dayal Group of Institutions, Kolkata",7.3,86500,1200000
"Nalanda Institute of Technology - [NIT], Bhubaneswar",7.3,86500,1500000
"Thejus Engineering College, Thrissur",7.3,88400,1000000
"Alamuri Ratnamala Institute of Engineering and Technology - [ARMIET], Thane",7.3,88500,1000000
"Institute of Infrastructure Technology Research and Management - [IITRAM], Ahmedabad",7.3,89500,850000
"Institute of Engineering & Technology, Ropar",7.3,89775,350000
"Coorg Institute of Technology - [CIT], Kodagu",7.3,90340,1200000
"Swami Vivekananda Institute of Science and Technology - [SVIST], Kolkata",7.3,99000,240000
"Gandhi Engineering College - [GEC], Bhubaneswar",7.3,100000,180000
"A. D. Patel Institute of Technology - [ADIT], Vallabh Vidyanagar",7.3,106000,600000
"Bharati Vidyapeeth College of Engineering - [BVCOE] Navi Mumbai, Mumbai",7.3,110000,1100000
"College of Engineering And Management, Kolaghat, Medinipur",7.3,110700,480000
"Sityog Institute of Technology, Aurangabad",7.3,111000,1000000
"DY Patil College of Engineering and Technology - [DYPCET], Kolhapur",7.3,114085,350000
"Vidya Jyothi Institute of Technology - [VJIT], Hyderabad",7.3,115000,4100000
"SRM, Institute of Technology, Lucknow",7.3,117500,5400000
"Quantum University, Roorkee",7.3,125000,4400000
"ABES Institute of Technology - [ABESIT], Ghaziabad",7.3,128100,300000
"Padre Conceicao College of Engineering, Salcete",7.3,130000,2473000
"The Oxford College of Engineering, Bangalore",7.3,130090,5800000
"Shah and Anchor Kutchhi Engineering College - [SAKEC], Mumbai",7.3,133263,507000
"SIES Graduate School of Technology - [SIES-GST], Navi Mumbai",7.3,134420,2018000
"National Institute of Technology - [NIT], Dimapur",7.3,138150,240000
"Sri Rammurty Smarak College of Engineering & Technology, Bareilly",7.3,139282,300000
"National Institute of Technology - [NIT], Pondicherry",7.3,144800,6010000
"Meghnad Saha Institute of Technology - [MSIT], Kolkata",7.3,144800,700000
"National Institute of Technology - [NIT], Srinagar",7.3,164500,900000
"Lingaya's Vidyapeeth, Faridabad",7.3,167000,650000
"National Institute of Technology - [NIT], New Delhi",7.3,178200,360000
"Einstein College of Engineering, Tirunelveli",7.3,200000,1200000
"Karpaga Vinayaga College of Engineering and Technology - [KVCET], Chennai",7.3,200000,2850000
"Sushant University / Ansal University, Gurgaon",7.3,202540,1300000
"Indian Institute of Information Technology -[IIIT], Bhopal",7.3,224500,650000
"GITAM, Visakhapatnam",7.3,245000,5263000
"East Point Group of Institutions - [EPGI], Bangalore",7.3,250000,12000000
"Seacom Engineering College, Howrah",7.3,250000,453000
"ANA Group of Institutions, Bareilly",7.3,252000,220000
"SRM Engineering College, Kanchipuram",7.3,260000,819000
"Birla Institute of Technology - [BIT], Patna",7.3,295000,900000
"Birla Institute of Technology - [BIT Mesra], Ranchi",7.3,303500,2500000
"College of Technology and Engineering, Maharana Pratap University of Agriculture and Technology - [CTAE], Udaipur",7.3,315000,500000
"Pratap University - [PU], Jaipur",7.3,387000,1400000
"Sarala Birla University - [SBU], Ranchi",7.3,522200,1000000
"Academy of Maritime Education and Training University - [AMET], Chennai",7.4,,3800000
"Chaibasa Engineering College, Techno India Group, Chaibasa",7.4,,300000
"Government Engineering College - [GEC], Bhavnagar",7.4,1500,1500000
"Shantilal Shah Engineering College - [SSEC], Bhavnagar",7.4,2800,650000
"Alagappa Chettiar College of Engineering and Technology, Karaikudi",7.4,9440,2300000
"Government College of Engineering - [GCE], Salem",7.4,15820,350000
"C. Byregowda Institute of Technology - [CBIT], Kolar",7.4,20000,338352
"Excel Engineering College, Namakkal",7.4,35000,1200000
"College of Engineering Perumon, Kollam",7.4,35000,800000
"Government College of Engineering and Leather Technology - [GCELT], Saltlake",7.4,35350,700000
"PPG Institute of Technology - [PPGIT], Coimbatore",7.4,40000,108000
"Narayana Engineering College Gudur - [NEC], Nellore",7.4,45000,360000
"Shadan College of Engineering & Technology - [SCET], Hyderabad",7.4,45000,1000000
"Annai Mathammal Sheela Engineering College, Namakkal",7.4,45000,450000
"Dr. Mahalingam College of Engineering & Technology - [MCET], Pollachi",7.4,50000,4240000
"Mailam Engineering College, Villupuram",7.4,50000,3900000
"Global Institute of Engineering and Technology - [GIT], Vellore",7.4,50000,850000
"KLN College of Information Technology - [KLNCIT], Sivaganga",7.4,50000,480000
"SRM TRP Engineering College, Tiruchirappalli",7.4,50000,570000
"Sakthi Mariamman Engineering College - [SMEC], Chennai",7.4,50000,349000
"Malabar College of Engineering and Technology - [MCET], Thrissur",7.4,50000,300000
"Nehru College of Engineering and Research Centre - [NCERC], Thrissur",7.4,50000,720000
"Jayaraj Annapackiam CSI College of Engineering - [JACSICE], Thoothukudi",7.4,50000,225000
"Indur Institute of Engineering and Technology - [INDURIET], Siddipet",7.4,50000,500000
"Srinivasa Ramanujan Institute of Technology - [SRIT], Anantapur",7.4,50200,720000
"Prakasam Engineering College - [PEC], Prakasam",7.4,53850,360000
"Coimbatore Institute of Engineering and Technology - [CIET], Coimbatore",7.4,55000,1225000
"Latha Mathavan Engineering College - [LMEC], Madurai",7.4,55000,1200000
"L.B.S. College of Engineering - [LBSCEK], Kasaragod",7.4,57620,620000
"GIET College of Engineering, Rajahmundhry, East Godavari",7.4,58700,3300000
"Dumkal Institute of Engineering & Technology- [DIET], Murshidabad",7.4,59500,300000
"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College, Chennai",7.4,60000,3800000
"ISL Engineering College - [ISLEC], Hyderabad",7.4,65000,4000000
"Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE], Vizianagaram",7.4,67700,2035000
"Narsimha Reddy Engineering College - [NRCM], Secunderabad",7.4,70000,350000
"Gyan Ganga College of Technology - [GGCT], Jabalpur",7.4,70000,350000
"Institute of Engineering and Rural Technology - [IERT], Allahabad",7.4,71200,320000
"Krupajal Engineering College - [KEC], Bhubaneswar",7.4,72000,800000
"Sree Narayana Gurukulam College of Engineering - [SNGCE], Ernakulam",7.4,72020,1208000
"University Institute of Engineering and Technology, Maharshi Dayanand University - [UIET], Rohtak",7.4,74288,350000
"Shri Govindram Seksaria Institute of Technology and Science- [SGSITS], Indore",7.4,75550,800000
"Christian College of Engineering and Technology - [CCET], Bhilai",7.4,76900,1000000
"Anurag College of Engineering - [ACE], Ghatkesar",7.4,78000,500000
"Cambridge Institute of Technology - [CIT], Ranchi",7.4,78000,1200000
"Shyam University, Dausa",7.4,80000,700000
"Shaheed Udham Singh Engineering College - [SUSEC], Mohali",7.4,80000,1200000
"H.V.P.Mandal's College of Engineering & Technology, Amravati",7.4,80300,240000
"Abacus Institute of Engineering and Management, Hooghly",7.4,80500,1400000
"Apollo Institute of Technology - [AIT], Kanpur",7.4,80500,108000
"Rayat Institute of Engineering and Information Technology - [RIEIT], Ropar",7.4,80750,144000
"Muthayammal College of Engineering - [MCE], Rasipuram",7.4,85000,1915000
"Rajalakshmi Institute of Technology - [RIT], Chennai",7.4,85000,204609
"Global Institute of Technology and Management - [GITM], Gurgaon",7.4,85000,850000
"Rajagiri School of Engineering & Technology - [RSET], Kochi",7.4,87000,325000
"Wainganga College of Engineering and Management - [WCEM], Nagpur",7.4,87000,400000
"Joginpally BR Engineering College -[JBREC] Yenkapally, Hyderabad",7.4,87000,1000000
"Meerut Institute of Technology - [MIT], Meerut",7.4,87500,240000
"Techno India University, Kolkata",7.4,89200,750000
"CSI College of Engineering - [CSICE], The Nilgiris",7.4,89400,450000
"KLE Dr. M.S.Sheshgiri College of Engineering & Technology, Belgaum",7.4,89640,349994
"Shree LR Tiwari College of Engineering - [SLRTCE], Thane",7.4,90000,380000
"Vishveshwarya Group of Institutions - [VGI], Greater Noida",7.4,90000,1129000
"NIE Institute of Technology - [NIEIT], Mysore",7.4,90340,350000
"Jhulelal Institute of Technology - [JIT], Nagpur",7.4,93500,450000
"Bankura Unnayani Institute of Engineering - [BUIE], Bankura",7.4,94750,320000
"Nalla Malla Reddy Engineering College - [NMREC], Hyderabad",7.4,95000,360000
"I.K. Gujral Punjab Technical University - [IKG-PTU], Jalandhar",7.4,96100,4400000
"Nutan Maharashtra Institute of Engineering and Technology - [NMIET] Talegaon, Pune",7.4,97340,7700000
"Cochin University of Science and Technology - [CUSAT], Kochi",7.4,97380,4700000
"Shivajirao S Jondhale College of Engineering - [SSJCE], Thane",7.4,97380,450000
"Pailan College of Management and Technology - [PCMT], Kolkata",7.4,97500,420000
"Matrusri Engineering College, Hyderabad",7.4,100000,4800000
"KG Reddy College of Engineering and Technology - [KGRCET], Hyderabad",7.4,100000,360000
"KNS Institute of Technology - [KNSIT], Bangalore",7.4,100000,800000
"Malla Reddy Engineering College - [MREC], Hyderabad",7.4,103000,1005400
"Madhav Institute of Technology and Science - [MITS], Gwalior",7.4,104070,3200000
"Dhole Patil College of Engineering - [DPCOE], Pune",7.4,104424,270000
"CMR Technical Campus - [CMRTC], Hyderabad",7.4,105000,450000
"ITS Engineering College, Greater Noida",7.4,105000,4000000
"Surendra Institute of Engineering and Management - [SIEM], Darjeeling",7.4,106000,600000
"Axis Colleges, Kanpur",7.4,107050,650000
"Supreme Knowledge Foundation Group of Institutions - [SKFGI], Hooghly",7.4,113700,450000
"Charotar University of Science and Technology - [CHARUSAT], Anand",7.4,128000,1000000
"St. Francis Institute of Technology - [SFIT], Mumbai",7.4,132500,480000
"Vemana Institute of Technology, Bangalore",7.4,147720,2600000
"National Institute of Technology - [NITAP], Tadepalligudem",7.4,152500,450000
"National Institute of Technology - [NIT], Papum Pare",7.4,153600,535000
"Maharaja Surajmal Institute of Technology - [MSIT], New Delhi",7.4,156300,630000
"Adani Institute of Infrastructure Engineering - [AIIE], Ahmedabad",7.4,165000,420000
"AMC Engineering College - [AMC], Bangalore",7.4,167000,2500000
"Usha Martin University - [UMU], Ranchi",7.4,187000,2030000
"Manav Rachna International Institute Of Research And Studies, Faculty of Engineering and Technology - [MRIIRSFET], Faridabad",7.4,196500,677000
"SRMIST Delhi NCR Campus, Ghaziabad",7.4,221000,650000
"CMR University - [CMRU], Bangalore",7.4,225000,6075000
"Netaji Subhas University of Technology - [NSUT], New Delhi",7.4,229000,4000000
"Graphic Era Hill University - [GEHU], Dehradun",7.4,275600,4000000
"Doaba Group of Colleges - [DGC], Mohali",7.4,318000,280000
"IILM University, Gurgaon",7.4,340000,3650000
"KIIT School of Biotechnology - [KSBT], Bhubaneswar",7.4,350000,350000
"JSPM Narhe Technical Campus - [JSPM NTC] Narhe, Pune",7.4,360000,540000
"Amritsar Group of Colleges - [AGC], Amritsar",7.4,403024,1900000
"Alliance College of Engineering and Design, Bangalore",7.4,775000,810000
"Jawaharlal Nehru Technological University - [JNTU], Anantapur",7.5,,470000
"APJ Abdul Kalam Technological University - [KTU], Thiruvananthapuram",7.5,,520000
"Mahaveer Institute of Engineering & Technology - [MIET], Meerut",7.5,,813000
"Arunodaya University, Itanagar",7.5,,1200000
"Yellamma Dasappa Institute of Technology, Bangalore",7.5,7720,100000
"Mar Athanasius College of Engineering - [MACE], Kothamangalam",7.5,8225,900000
"Ramkrishna Mahato Government Engineering College, Purulia",7.5,12220,1000000
"Government Engineering College - [GECK], Kozhikode",7.5,13710,4100000
"University Visvesvaraya College of Engineering - [UVCE], Bangalore",7.5,22430,367000
"JNTUA College of Engineering, Anantapur",7.5,25000,1472000
"Nowgong Engineering College, Chhatarpur",7.5,25080,166000
"BABA Institute of Technology and Sciences - [BITS-VIZAG], Visakhapatnam",7.5,30000,700000
"University College of Engineering, Anna University - [UCEV], Viluppuram",7.5,43810,1000000
"JEPPIAAR SRR Engineering college, Chennai",7.5,45000,250000
"Heera College of Engineering and Technology - [HCET] Nedumangad, Thiruvananthapuram",7.5,45000,220000
"North-Eastern Hill University - [NEHU], Shillong",7.5,49600,842000
"Nandha Engineering College - [NEC], Erode",7.5,50000,2700000
"St Xaviers Catholic College of Engineering - [SXCCE], Nagercoil",7.5,50000,4200000
"Indra Ganesan College of Engineering - [IGCENG], Tiruchirappalli",7.5,50000,800000
"Mohandas College of Engineering and Technology - [MCET], Thiruvananthapuram",7.5,50000,216316
"Salem College of Engineering and Technology - [SCET], Salem",7.5,50000,1100000
"Gnanamani College of Engineering - [GCE], Namakkal",7.5,50000,650000
"Annai Mira College of Engineering and Technology, Vellore",7.5,50000,320000
"Jaya Engineering College - [JEC], Chennai",7.5,55000,6300000
"Kongunadu College of Engineering and Technology - [KNCET], Tiruchirappalli",7.5,55000,2500000
"Sree Chaitanya College of Engineering - [SCCE], Karimnagar",7.5,55000,1200000
"Vickram College of Engineering - [VCE], Sivaganga",7.5,55000,600000
"Alagappa College of Technology, Anna University - [ACT], Chennai",7.5,57160,545000
"ACS College of Engineering - [ACSCE], Bangalore",7.5,58806,4500000
"Panimalar Institute of Technology-[PIT], Chennai",7.5,60000,600000
"Government Engineering College - [ECB], Bikaner",7.5,60000,250000
"Institute of Road and Transport Technology - [IRTTECH], Erode",7.5,66865,475000
"Govind Ballabh Pant Engineering College - [GBPEC], Garhwal",7.5,69015,500000
"World College of Technology and Management - [WCTM], Gurgaon",7.5,70000,300000
"Millia Institute of Technology - [MIT], Purnea",7.5,70000,1300000
"Institute of Technology Gopeshwar - [ITG], Chamoli",7.5,70800,500000
"Madhuben & Bhanubhai Patel Institute of Technology - [MBPIT], Anand",7.5,71000,1240000
"Aditya Institute of Technology and Management -[AITAM] Tekkali, Srikakulam",7.5,72000,400000
"Gokul Global University - [GGU], Sidhpur",7.5,74000,350000
"KIIT College of Engineering, Gurgaon",7.5,75000,350000
"Vidya Vihar Institute of Technology - [VVIT], Purnea",7.5,75000,1200000
"Compucom Institute of Information Technology and Management - [CIITM], Jaipur",7.5,77400,360000
"Sir M Visvesvaraya Institute of Technology - [Sir MVIT], Bangalore",7.5,80526,325000
"Adesh Institute of Technology - [AIT], Mohali",7.5,80750,400000
"Institute of Engineering and Technology - [IET], Lucknow",7.5,89775,2500000
"Sri Eshwar College of Engineering - [SECE], Coimbatore",7.5,90000,708000
"Ashoka Institute of Technology and Management - [AITM], Varanasi",7.5,90000,1080000
"Neil Gogte Institute of Technology - [NGIT], Hyderabad",7.5,90000,2500000
"VVP Engineering College - [VVPEC], Rajkot",7.5,93000,400000
"Oriental Institute of Science and Technology - [OIST], Bhopal",7.5,96000,2200000
"Sinhgad Academy of Engineering - [SAE] Kondhawa, Pune",7.5,97000,300000
"Bhagwan Parshuram Institute of Technology - [BPIT], New Delhi",7.5,97800,350000
"Canara Engineering College - [CEC], Mangalore",7.5,100000,248000
"KCC Institute of Technology and Management - [KCCITM], Greater Noida",7.5,100000,3700000
"Malla Reddy College of Engineering and Technology- [MRCET], Hyderabad",7.5,100000,2100000
"Rajiv Gandhi College of Engineering and Research - [RGCER], Nagpur",7.5,100000,1000000
"Hindusthan College of Engineering and Technology - [HICET], Coimbatore",7.5,100000,344000
"Maharashtra Institute of Technology - [MIT], Aurangabad",7.5,101200,3100000
"J.C. Bose University Of Science And Technology, YMCA, Faridabad",7.5,102942,1500000
"Shivalik College of Engineering - [SCE], Dehradun",7.5,103900,350000
"IFTM University, Moradabad",7.5,107000,830000
"Guru Nanak Institutions Technical Campus - [GNITC], Hyderabad",7.5,107000,1248000
"KDK College of Engineering, Nagpur",7.5,107000,800000
"Vidya College of Engineering - [VCE], Meerut",7.5,108000,520000
"Vidya Academy of Science and Technology - [VAST], Thrissur",7.5,108611,300000
"Medi-Caps University, Indore",7.5,110000,340000
"Babu Banarasi Das Institute of Technology & Management - [BBDITM], Lucknow",7.5,116803,737217
"IEC Group of Institutions, Greater Noida",7.5,117126,3400000
"Sarvajanik College of Engineering and Technology - [SCET], Surat",7.5,118000,700000
"JIS University, Kolkata",7.5,118600,350000
"Jawaharlal Nehru Technological University - [JNTUH], Hyderabad",7.5,119213,1097000
"Apex University - [AU], Jaipur",7.5,120000,1200000
"Akshaya Institute of Technology - [AIT], Tumkur",7.5,120000,750000
"Jagannath University, Bahadurgarh",7.5,121000,500000
"Mangalayatan University - [MU], Aligarh",7.5,130000,1709000
"Terna Engineering College Navi Mumbai, Mumbai",7.5,130000,380000
"Bharati Vidyapeeth's College of Engineering - [BVCOE], New Delhi",7.5,130200,7000000
"JSS Academy of Technical Education - [JSSATE], Noida",7.5,137850,2800000
"AP Goyal Shimla University, Shimla",7.5,141000,3000000
"Guru Tegh Bahadur Institute of Technology - [GTBIT], New Delhi",7.5,142800,1356000
"Maharaja Agrasen Institute of Technology - [MAIT], New Delhi",7.5,143200,3500000
"University Institute of Engineering and Technology -[UIET], Chandigarh",7.5,147670,12000000
"Noida International University - [NIU], Greater Noida",7.5,148000,1000000
"Gopalan College of Engineering and Management - [GCEM], Bangalore",7.5,150000,1400000
"Sanjivani College of Engineering Kopargaon, Ahmednagar",7.5,151002,1200000
"National Institute of Technology - [NIT] Meghalaya, Shillong",7.5,155150,18000000
"Xavier Institute of Engineering - [XIE], Mumbai",7.5,157499,280000
"Mar Ephraem College of Engineering and Technology - [MECET], Kanyakumari",7.5,160000,400000
"Galgotias University - [GU], Greater Noida",7.5,164000,3600000
"KLE Institute of Technology - [KLEIT], Hubli",7.5,166250,1200000
"SASTRA University, Thanjavur",7.5,167000,4500000
"Sir Padampat Singhania University - [SPSU], Udaipur",7.5,170000,2950000
"MIT Academy of Engineering - [MITAOE], Pune",7.5,175737,1152000
"Chirala Engineering College - [CEC], Chirala",7.5,180000,250000
"RD Engineering College, Ghaziabad",7.5,182500,380000
"Thadomal Shahani Engineering College - [TSEC], Mumbai",7.5,189205,11800000
"M. Kumarasamy College of Engineering - [MKCE], Karur",7.5,200000,320000
"Kalaignar karunanidhi Institute of Technology - [KIT], Coimbatore",7.5,200000,1200000
"EGS Pillay Engineering College, Nagapattinam",7.5,200000,3000000
"Ajeenkya DY Patil University - [ADYPU], Pune",7.5,230000,1000000
"Biju Patnaik University of Technology - [BPUT], Rourkela",7.5,235000,1600000
"Maharaja Institute of Technology - [MIT], Mysore",7.5,238000,3200000
"PES Institute of Technology and Management - [PESITM], Shimoga",7.5,360000,450000
"Dronacharya Group of Institutions - [DGI], Greater Noida",7.5,380000,400000
"Aligarh College of Engineering and Technology - [ACET], Aligarh",7.5,380000,518000
"Dronacharya College of Engineering - [DCE], Gurgaon",7.5,564000,800000
"Aryabhatta Knowledge University - [AKU], Patna",7.6,,2743000
"Sana Engineering College - [SEC], Suryapet",7.6,,1000000
"Government Engineering College - [GECSKP] Sreekrishnapuram , Palakkad",7.6,8225,420000
"Bhartiya Shiksha Parishad - [BSP], Lucknow",7.6,17250,700000
"Cape Institute of Technology - [CAPE], Tirunelveli",7.6,25500,400000
"Ghani Khan Choudhury Institute Of Engineering and Technology -[GKCIET], Malda",7.6,27170,400000
"Vemu Institute of Technology - [VEMU], Chittoor",7.6,35000,450000
"College of Engineering - [COE] Kallooppara, Pathanamthitta",7.6,35000,1200000
"Visakha Institute of Engineering & Technology - [VIET], Visakhapatnam",7.6,35000,350000
"Mewat Engineering College - [MECW], Mewat",7.6,39500,400000
"Sanghvi Institute of Management and Science - [SIMS], Indore",7.6,40000,350000
"Gujarat Power Engineering and Research Institute - [GPERI], Mehsana",7.6,40000,500000
"College of Engineering Trikaripur, Kasaragod",7.6,43805,400000
"Gwalior Engineering College - [GEC], Gwalior",7.6,45600,576000
"Sengunthar Engineering College, Namakkal",7.6,50000,350000
"Surya Engineering College, Erode",7.6,50000,900000
"KVG College of Engineering - [KVGCE], Sullia",7.6,50000,650000
"Shanmuganathan Engineering College - [SEC], Palayamkottai",7.6,50000,280000
"KS Rangasamy College of Technology, Namakkal",7.6,50000,340000
"Vizag Institute of Technology - [VIZB], Visakhapatnam",7.6,50100,1500000
"RKDF University, Bhopal",7.6,55000,5387000
"Kanpur Institute of Technology - [KIT], Kanpur",7.6,55000,750000
"Prathyusha Engineering College - [PEC], Thiruvallur",7.6,55000,450000
"Vasireddy Venkatadri Institute of Technology - [VVIT], Guntur",7.6,55000,2216000
"Manoharbhai Patel Institute of Engineering and Technology - [MIET], Gondiya",7.6,55000,1470000
"Basavakalyan Engineering College - [BKET], Basavakalyan",7.6,58806,350000
"Muthayammal Engineering College - [MEC], Namakkal",7.6,60000,120000
"Indore Institute of Science and Technology - [IIST], Indore",7.6,60000,250000
"M.A.M College of Engineering - [MAMCE], Tiruchirappalli",7.6,60000,3200000
"The Kavery Engineering College - [TKEC], Salem",7.6,60000,1200000
"Government Engineering College, Jhalawar",7.6,60100,1363000
"Aurangabad College of Engineering - [ACE], Aurangabad",7.6,60500,260000
"Rajkiya Engineering College - [RECK], Kannauj",7.6,60500,750000
"Vadodara Institute of Engineering, Vadodara",7.6,61000,375000
"Bapatla Engineering College - [BEC], Guntur",7.6,61000,800000
"Shree Swaminarayan Institute of Technology- [SSIT], Gandhinagar",7.6,61000,255108
"SunRise University - [SRU], Alwar",7.6,62200,2000000
"OPJS University, Churu",7.6,64200,3000000
"K Ramakrishnan College of Technology - [KRCT], Tiruchirappalli",7.6,65000,325000
"Jawaharlal Institute of Technology - [JIT] Borawan, Khargone",7.6,66500,400000
"Rajeev Gandhi Memorial College of Engineering and Technology Nandyal - [RGMCET], Kurnool",7.6,69100,645000
"Gharda Institute of Technology-[GIT], Ratnagiri",7.6,69549,2936000
"TKR College of Engineering and Technology - [TKRCET], Hyderabad",7.6,70000,630000
"International Institute of Technology and Management - [IITM], Sonepat",7.6,70000,1800000
"BFIT Group of Institutions - [BFIT], Dehradun",7.6,70000,310000
"MATS University, Raipur",7.6,72000,450000
"Sandip University, Nashik",7.6,75000,4400000
"AWH Engineering College, Calicut",7.6,75000,453000
"Women Institute of Technology - [WIT], Dehradun",7.6,75500,350000
"Vaish College of Engineering, Rohtak",7.6,75540,1400000
"Government Engineering College - [GECH], Hassan",7.6,76360,600000
"Elitte College of Engineering - [ECE], Kolkata",7.6,79000,1800000
"Dr. M.G.R. Educational and Research Institute, Chennai",7.6,80000,5015000
"Shaheed Udham Singh College of Engineering and Technology - [SUSCET], Mohali",7.6,80000,900000
"Sant Longowal Institute of Engineering and Technology - [SLIET], Sangrur",7.6,81000,2485000
"Velammal Institute of Technology - [VI-Tech], Thiruvallur",7.6,91150,200000
"Sir Visvesvaraya Institute Of Technology - [SVIT] Chincholi, Nashik",7.6,91867,1250000
"Malla Reddy College of Engineering - [MRCE], Secunderabad",7.6,92000,4600000
"Sri Sairam College of Engineering, Bangalore",7.6,92000,1250000
"Yagyavalkya Institute of Technology - [YIT], Jaipur",7.6,92515,516000
"Bapuji Institute of Engineering and Technology - [BIET], Davanagere",7.6,93000,1000000
"Bhadrak Institute of Engineering and Technology - [BIET], Bhadrak",7.6,94000,1650000
"Glocal University, Saharanpur",7.6,95000,4600000
"AVN Institute of Engineering and Technology - [AVNIET], Ibrahimpatnam, Hyderabad",7.6,95000,1800000
"CMR Group of Institutions, Hyderabad",7.6,95000,1200000
"RMD Sinhgad School of Engineering -[RMDSSOE], Pune",7.6,96000,600000
"Arya College of Engineering and IT - [ACEIT], Jaipur",7.6,96104,360000
"Guru Nanak Dev Engineering College - [GNDEC], Ludhiana",7.6,98689,1800000
"Amal Jyothi College of Engineering - [AJCE], Kanjirappally",7.6,100000,500000
"PDM Faculty of Engineering and Technology, Bahadurgarh",7.6,100200,3784000
